Date;Open;High;Low;Close
18/08/2023 12:15;115532.74;115728.91;115501.81;115550.21
18/08/2023 12:00;115397.69;115548.74;115371.96;115548.74
18/08/2023 11:45;115448.17;115464.39;115299.44;115396.46
18/08/2023 11:30;115120.01;115391.28;115085.68;115391.28
18/08/2023 11:15;115193.32;115311.20;114985.97;115121.40
18/08/2023 11:00;115163.12;115310.77;115140.10;115190.92
18/08/2023 10:45;115185.53;115224.46;114968.10;115157.81
18/08/2023 10:30;114661.67;115270.01;114634.25;115226.41
18/08/2023 10:15;114592.24;114673.06;114423.28;114646.60
18/08/2023 10:00;114973.40;114973.40;114550.43;114586.73
17/08/2023 16:45;114951.93;114986.31;114859.21;114982.30
17/08/2023 16:30;115112.88;115120.20;114919.97;114971.81
17/08/2023 16:15;114961.05;115121.69;114941.39;115100.38
17/08/2023 16:00;115137.54;115146.44;114904.67;114957.38
17/08/2023 15:45;115146.76;115209.11;115014.04;115088.69
17/08/2023 15:30;115286.85;115286.85;115138.06;115165.15
17/08/2023 15:15;115237.09;115340.30;115071.68;115271.66
17/08/2023 15:00;115379.45;115379.45;115210.34;115274.52
17/08/2023 14:45;115288.00;115443.19;115239.80;115368.35
17/08/2023 14:30;115527.84;115543.40;115242.51;115242.51
17/08/2023 14:15;115510.10;115580.49;115470.79;115537.53
17/08/2023 14:00;115677.58;115677.58;115467.54;115490.24
17/08/2023 13:45;115540.92;115678.04;115526.67;115656.63
17/08/2023 13:30;115708.50;115741.42;115530.23;115545.29
17/08/2023 13:15;115447.65;115706.02;115444.49;115706.02
17/08/2023 13:00;115387.80;115468.70;115261.18;115429.68
17/08/2023 12:45;115430.29;115508.84;115203.75;115382.69
17/08/2023 12:30;115405.49;115573.69;115405.49;115419.21
17/08/2023 12:15;115531.33;115588.13;115393.00;115415.35
17/08/2023 12:00;115506.25;115593.57;115381.94;115515.28
17/08/2023 11:45;115766.07;115877.32;115518.00;115535.94
17/08/2023 11:30;116147.65;116176.20;115653.93;115818.91
17/08/2023 11:15;116232.78;116313.42;116089.96;116102.45
17/08/2023 11:00;116126.28;116304.23;116126.28;116201.66
17/08/2023 10:45;116563.15;116610.49;116125.49;116126.95
17/08/2023 10:30;116341.26;116603.68;116199.64;116534.22
17/08/2023 10:15;116390.60;116596.48;116323.59;116445.41
17/08/2023 10:00;115592.14;116554.63;115592.14;116401.22
16/08/2023 16:45;115634.60;115753.25;115533.58;115591.52
16/08/2023 16:30;115915.31;116037.84;115613.84;115614.91
16/08/2023 16:15;116133.90;116194.27;115901.26;115901.26
16/08/2023 16:00;116327.73;116380.93;116071.44;116087.96
16/08/2023 15:45;116574.07;116575.41;116258.13;116284.25
16/08/2023 15:30;116563.99;116713.70;116558.34;116578.54
16/08/2023 15:15;116508.37;116689.58;116451.68;116567.71
16/08/2023 15:00;116597.41;116602.49;116358.59;116529.29
16/08/2023 14:45;116532.65;116627.88;116527.24;116582.80
16/08/2023 14:30;116484.48;116567.98;116452.28;116511.51
16/08/2023 14:15;116352.07;116571.50;116289.49;116543.86
16/08/2023 14:00;116599.67;116625.86;116343.15;116343.15
16/08/2023 13:45;116469.59;116687.93;116432.69;116636.68
16/08/2023 13:30;116609.11;116622.83;116472.77;116472.77
16/08/2023 13:15;116558.87;116655.07;116545.08;116619.74
16/08/2023 13:00;116961.00;116961.00;116537.79;116537.79
16/08/2023 12:45;116923.31;116966.81;116818.45;116944.58
16/08/2023 12:30;116898.46;117002.08;116874.91;116909.83
16/08/2023 12:15;117038.23;117038.23;116846.01;116895.21
16/08/2023 12:00;117180.90;117189.36;116946.61;116984.28
16/08/2023 11:45;117210.12;117337.65;117066.59;117170.90
16/08/2023 11:30;116824.91;117224.19;116824.91;117204.19
16/08/2023 11:15;116626.40;116854.82;116540.28;116818.09
16/08/2023 11:00;116573.39;116810.18;116476.21;116591.01
16/08/2023 10:45;116496.60;116800.70;116428.18;116534.38
16/08/2023 10:30;116554.81;116730.04;116477.31;116477.31
16/08/2023 10:15;116302.74;116780.97;116302.74;116539.06
16/08/2023 10:00;116171.26;116351.40;116019.18;116351.40
15/08/2023 16:45;116180.11;116266.11;116163.96;116171.42
15/08/2023 16:30;116318.52;116318.52;116033.15;116170.52
15/08/2023 16:15;116368.47;116598.69;116343.49;116362.16
15/08/2023 16:00;116544.79;116580.46;116440.72;116440.72
15/08/2023 15:45;116586.47;116602.62;116496.08;116528.32
15/08/2023 15:30;116539.52;116615.83;116500.32;116589.06
15/08/2023 15:15;116676.22;116676.22;116537.65;116537.65
15/08/2023 15:00;116769.84;116769.84;116612.56;116699.69
15/08/2023 14:45;116571.30;116772.43;116571.30;116772.43
15/08/2023 14:30;116595.33;116595.33;116443.49;116542.27
15/08/2023 14:15;116544.72;116625.88;116476.51;116552.41
15/08/2023 14:00;116533.20;116591.60;116489.24;116535.76
15/08/2023 13:45;116520.38;116566.86;116324.34;116532.10
15/08/2023 13:30;116459.65;116610.35;116432.22;116557.77
15/08/2023 13:15;116662.35;116690.72;116367.92;116410.08
15/08/2023 13:00;116712.67;116804.06;116609.79;116671.64
15/08/2023 12:45;116802.99;116838.45;116697.33;116697.33
15/08/2023 12:30;116924.64;117008.73;116764.44;116825.52
15/08/2023 12:15;116777.41;116899.49;116626.12;116897.93
15/08/2023 12:00;116292.91;116768.95;116292.91;116757.34
15/08/2023 11:45;116511.81;116572.81;116307.15;116307.15
15/08/2023 11:30;116619.40;116661.84;116237.84;116504.32
15/08/2023 11:15;116828.62;116887.19;116661.73;116662.45
15/08/2023 11:00;117161.87;117161.87;116672.79;116845.25
15/08/2023 10:45;117106.69;117257.14;117001.96;117165.29
15/08/2023 10:30;117301.57;117301.57;116693.01;117051.88
15/08/2023 10:15;117616.56;117616.56;117097.63;117333.47
15/08/2023 10:00;116808.91;117697.25;116806.96;117607.73
14/08/2023 16:45;116746.24;116845.52;116746.24;116809.55
14/08/2023 16:30;116584.06;116759.27;116584.06;116759.27
14/08/2023 16:15;116742.36;116742.36;116529.96;116535.55
14/08/2023 16:00;116720.29;116792.37;116674.33;116737.17
14/08/2023 15:45;116771.26;116781.92;116675.72;116708.01
14/08/2023 15:30;116694.05;116800.89;116657.43;116768.51
14/08/2023 15:15;116890.81;116895.74;116702.74;116702.74
14/08/2023 15:00;117006.07;117032.87;116835.69;116895.68
14/08/2023 14:45;117056.41;117056.41;116960.82;116997.23
14/08/2023 14:30;117094.23;117118.31;116989.96;117059.29
14/08/2023 14:15;117232.19;117232.19;117033.25;117086.57
14/08/2023 14:00;117036.34;117352.05;117036.34;117264.29
14/08/2023 13:45;117049.02;117116.29;117019.25;117044.57
14/08/2023 13:30;117155.10;117155.73;117044.72;117063.30
14/08/2023 13:15;117098.71;117161.39;117070.42;117155.45
14/08/2023 13:00;117065.45;117264.94;117049.15;117104.81
14/08/2023 12:45;116989.65;117160.35;116989.65;117054.33
14/08/2023 12:30;117022.56;117062.22;116903.69;116997.15
14/08/2023 12:15;116716.06;117040.12;116716.06;117040.12
14/08/2023 12:00;116878.70;116878.70;116690.73;116725.19
14/08/2023 11:45;117146.48;117146.48;116880.56;116890.01
14/08/2023 11:30;116968.45;117234.90;116963.77;117163.54
14/08/2023 11:15;117097.22;117168.59;117010.60;117036.58
14/08/2023 11:00;116985.03;117133.68;116827.76;117115.67
14/08/2023 10:45;116992.23;116992.23;116689.81;116936.03
14/08/2023 10:30;117432.27;117445.68;116936.68;117000.16
14/08/2023 10:15;117500.80;117669.34;117400.19;117447.84
14/08/2023 10:00;118066.52;118081.90;116980.06;117403.69
11/08/2023 16:45;117915.64;118065.14;117854.04;118065.14
11/08/2023 16:30;117837.11;118013.86;117820.23;117870.18
11/08/2023 16:15;117656.01;117862.63;117624.27;117862.63
11/08/2023 16:00;117708.04;117777.61;117657.42;117661.10
11/08/2023 15:45;117596.67;117760.29;117555.03;117705.32
11/08/2023 15:30;117436.99;117604.27;117430.61;117604.27
11/08/2023 15:15;117443.88;117690.35;117433.10;117433.10
11/08/2023 15:00;117676.49;117758.65;117415.21;117416.07
11/08/2023 14:45;117577.51;117705.84;117554.33;117659.91
11/08/2023 14:30;117886.18;117908.09;117517.56;117578.00
11/08/2023 14:15;117651.33;117924.43;117636.52;117870.89
11/08/2023 14:00;118164.33;118274.24;117671.55;117671.55
11/08/2023 13:45;118479.75;118556.23;118143.09;118143.09
11/08/2023 13:30;118592.06;118657.44;118470.80;118470.80
11/08/2023 13:15;118484.69;118835.43;118481.57;118595.45
11/08/2023 13:00;118519.42;118605.10;118444.79;118495.64
11/08/2023 12:45;118498.42;118514.68;118392.94;118514.68
11/08/2023 12:30;118533.77;118579.47;118432.77;118455.12
