Date;Open;High;Low;Close;Volume
2020-06-12 13:00:00;92245.89;92316.98;91690.12;92311.24;107358000
2020-06-12 12:00:00;91347.65;92238.78;90810.98;92238.78;170958600
2020-06-12 11:00:00;93049.69;93371.36;91518.10;91518.10;178510100
2020-06-12 10:00:00;94677.14;94703.26;91793.23;93045.24;202360700
2020-06-10 16:00:00;94958.13;95637.88;94685.98;94685.98;66110300
2020-06-10 15:00:00;95052.37;96241.29;94664.81;94999.23;176870100
2020-06-10 14:00:00;95068.66;95571.55;94967.01;95134.63;98855600
2020-06-10 13:00:00;95202.73;95364.09;94840.04;95086.29;81990800
2020-06-10 12:00:00;95054.17;95619.37;95054.17;95196.25;84709400
2020-06-10 11:00:00;95835.90;95978.18;94776.81;94957.41;209365700
2020-06-10 10:00:00;96747.32;97645.85;95676.86;95761.56;217653700
2020-06-09 16:00:00;96785.71;97124.75;96662.17;96746.55;233934300
2020-06-09 15:00:00;96839.31;96919.89;96622.20;96745.85;131011900
2020-06-09 14:00:00;96678.09;97164.84;96646.36;96841.08;105680400
2020-06-09 13:00:00;96689.22;96834.43;96542.11;96696.16;106719600
2020-06-09 12:00:00;97099.26;97311.75;96740.10;96740.10;129974000
2020-06-09 11:00:00;96265.87;97193.08;95960.90;97193.08;180441800
2020-06-09 10:00:00;97644.34;97644.34;95385.81;96275.80;240386500
2020-06-08 16:00:00;97037.50;97693.47;96886.70;97644.67;243176200
2020-06-08 15:00:00;97121.12;97274.93;97026.64;97079.28;117113800
2020-06-08 14:00:00;96966.99;97304.69;96966.99;97109.56;143583300
2020-06-08 13:00:00;96811.87;97047.02;96737.00;96983.93;106612100
2020-06-08 12:00:00;96363.83;96886.99;96288.70;96820.27;126281900
2020-06-08 11:00:00;96300.27;96346.23;95693.43;96346.23;164669200
2020-06-08 10:00:00;94640.43;96351.99;94635.19;96262.09;210889200
2020-06-05 16:00:00;95046.39;95119.51;94585.94;94637.06;252290100
2020-06-05 15:00:00;95301.67;95586.19;94853.51;95069.09;163452800
2020-06-05 14:00:00;95981.88;96037.95;95197.72;95281.33;130794800
2020-06-05 13:00:00;96231.39;96351.26;95878.75;95965.05;117469600
2020-06-05 12:00:00;96480.46;96695.96;96096.12;96234.28;151413700
2020-06-05 11:00:00;96319.22;96549.87;95615.24;96481.91;206386200
2020-06-05 10:00:00;93839.16;97355.75;93838.60;96354.28;310221100
2020-06-04 16:00:00;93578.18;93864.35;93293.37;93828.61;217021700
2020-06-04 15:00:00;93869.93;94132.30;93629.66;93629.66;136236800
2020-06-04 14:00:00;93118.68;94088.38;92928.01;93861.38;156042000
2020-06-04 13:00:00;93111.21;93291.39;92977.44;93125.72;97821000
2020-06-04 12:00:00;93230.37;93440.53;92938.92;93112.68;123404100
2020-06-04 11:00:00;92542.25;93354.31;92444.94;93255.94;182476500
2020-06-04 10:00:00;92992.63;93191.19;92220.80;92620.94;239570000
2020-06-03 16:00:00;92953.76;93160.92;92840.44;93002.14;261418500
2020-06-03 15:00:00;92661.15;93281.28;92658.73;92993.23;173865800
2020-06-03 14:00:00;92811.71;92842.10;92329.80;92593.99;181711500
2020-06-03 13:00:00;93220.83;93373.08;92767.56;92851.06;184338900
2020-06-03 12:00:00;93254.95;93445.50;93137.09;93205.47;162572900
2020-06-03 11:00:00;93032.51;93710.05;93032.51;93287.95;255708500
2020-06-03 10:00:00;91048.10;93687.74;91048.10;93006.49;294604600
2020-06-02 16:00:00;90665.75;91046.49;90555.71;91046.38;264701900
2020-06-02 15:00:00;90368.96;90747.55;90327.54;90681.71;136699600
2020-06-02 14:00:00;90366.07;90461.06;90285.36;90335.36;123156000
2020-06-02 13:00:00;90364.00;90468.97;90217.29;90411.73;105833000
2020-06-02 12:00:00;90579.83;90587.83;90293.89;90329.25;140238300
2020-06-02 11:00:00;89939.80;90620.28;89939.80;90584.39;201311000
2020-06-02 10:00:00;88622.49;89940.13;88622.49;89882.50;210792000
2020-06-01 16:00:00;88946.05;89019.37;88620.10;88620.10;191812700
2020-06-01 15:00:00;88714.93;88973.69;88661.69;88922.55;108058700
2020-06-01 14:00:00;88707.38;88945.14;88607.13;88678.75;110626000
2020-06-01 13:00:00;88663.33;88888.13;88556.21;88685.60;129955100
2020-06-01 12:00:00;87943.89;88782.51;87801.75;88695.99;121570000
2020-06-01 11:00:00;87565.73;88049.88;87565.73;87915.75;143118700
2020-06-01 10:00:00;87395.15;87839.51;86836.57;87608.85;183565900
2020-05-29 16:00:00;86939.58;87410.03;86534.08;87402.59;675296200
2020-05-29 15:00:00;85953.83;86828.61;85680.68;86798.84;191926800
2020-05-29 14:00:00;85950.20;86256.32;85781.61;85957.71;125891600
2020-05-29 13:00:00;85925.55;86076.19;85384.29;85958.29;132791500
2020-05-29 12:00:00;85947.26;86127.03;85853.20;85906.06;137398000
2020-05-29 11:00:00;86505.92;86594.02;85717.83;85909.39;172239900
2020-05-29 10:00:00;86951.32;87064.36;86263.55;86505.46;219547000
2020-05-28 16:00:00;87816.25;87816.25;86766.92;86949.09;195247500
2020-05-28 15:00:00;87903.54;87904.34;87501.57;87769.89;108211900
2020-05-28 14:00:00;87924.39;88090.67;87753.09;87921.61;116198100
2020-05-28 13:00:00;87957.11;88041.69;87663.94;87951.37;113119800
2020-05-28 12:00:00;87219.45;87885.94;87160.35;87853.16;110877700
2020-05-28 11:00:00;87202.50;87365.97;86769.52;87248.97;154266700
2020-05-28 10:00:00;87946.10;87946.10;86974.87;87208.56;214064300
2020-05-27 16:00:00;87543.97;87946.25;87450.68;87946.25;219843200
